time,step-size,{bodyFMU}.body.body.omega.flow,{bodyFMU}.body.body.v.flow[1],{bodyFMU}.body.robot_theta,{bodyFMU}.body.robot_x,{bodyFMU}.body.robot_y,{bodyFMU}.body.robot_z,{bodyFMU}.body.servo_left.rotational_velocity.p3.f,{bodyFMU}.body.servo_right.rotational_velocity.p3.f,{controllerFMU}.controller.servoLeftVal,{controllerFMU}.controller.servoRightVal,{sensor1FMU}.sensor1.lf_1_sensor_reading,{sensor2FMU}.sensor2.lf_1_sensor_reading
14.219999999999741,0.01,-0.16613965554045662,0.051668286017411594,2.518615581676615,-0.13042436573932809,0.05013196678499708,0.0,1.837942743494485,-1.269933378482512,0.5,-0.1,83.00000000000001,254.00000000000006
14.229999999999741,0.01,-0.06995813965349194,0.051667840654885444,2.5177564894500826,-0.13073698293964375,0.04972036932813097,0.0,1.6467608237695668,-1.4610768462510206,0.5,-0.1,116.00000000000003,255.00000000000006
14.23999999999974,0.01,-0.1640731522856159,0.05166838213114191,2.516546444452151,-0.13104954934771895,0.04930875097756128,0.0,1.7875579443473706,-1.320311939370486,0.5,-0.1,137.00000000000003,254.00000000000006
14.24999999999974,0.01,-0.17511007318331234,0.05166847562062683,2.5148128972492376,-0.13136949541570853,0.04890248247866759,0.0,1.8118090635473618,-1.2960693861765156,0.5,-0.1,159.00000000000003,254.00000000000006
14.25999999999974,0.01,-0.19461394978440413,0.05166858469783639,2.5129897884516086,-0.13169103410441452,0.048497413978775675,0.0,1.8362140457907,-1.271669426995408,0.5,-0.1,186.00000000000003,254.00000000000006
14.26999999999974,0.01,-0.22246621979970596,0.051668802091514754,2.5108958863288504,-0.13201588997889901,0.048094811717858996,0.0,1.8784377672599128,-1.2294590248606492,0.5,-0.1,213.00000000000006,255.00000000000006
14.27999999999974,0.01,-0.24253236175863196,0.05166895340700951,2.5085693776197306,-0.13234412960329633,0.047694750523417415,0.0,1.90842406580058,-1.1994819943788722,0.5,-0.1,228.00000000000006,253.00000000000006
14.28999999999974,0.01,-0.2635241275699316,0.0516691239839166,2.5060399717064255,-0.13267536930528634,0.04729697729058986,0.0,1.9391884795540044,-1.168727669610145,0.5,-0.1,250.00000000000006,252.00000000000006
14.29999999999974,0.01,-0.2837430638765169,0.05166929940442231,2.5033020589320722,-0.13300975879118054,0.04690162995834095,0.0,1.9692510462558346,-1.1386757149587559,0.5,-0.1,254.00000000000006,234.00000000000006
14.30999999999974,0.01,-0.302621142786727,0.05166946758308211,2.5003696069794636,-0.13334724294749634,0.046508698260196615,0.0,1.9971977424136678,-1.1107391428760751,0.5,-0.1,254.00000000000006,194.00000000000006
14.31999999999974,0.01,-0.3208356599053369,0.05166963675426204,2.4972516835883245,-0.1336877807725691,0.04611818328276253,0.0,2.024152966516921,-1.0837940949864602,0.5,-0.1,254.00000000000006,156.00000000000003
14.329999999999739,0.01,-0.33819517009528016,0.05166980310057494,2.4939557833569683,-0.13403135970976604,0.04573010838618548,0.0,2.049870274905444,-1.0580868167344368,0.5,-0.1,254.00000000000006,114.00000000000003
14.339999999999739,0.01,-0.3547470486044415,0.05166996579728835,2.49049043906923,-0.13437794929432373,0.04534448455025862,0.0,2.074378389210022,-1.0335885083985157,0.1,-0.5,254.00000000000006,70.00000000000001
14.349999999999739,0.01,0.3877871291389125,0.0516692874970453,2.4902180850679354,-0.13470629879497498,0.04494509551125227,0.0,1.0799252365988983,-2.0279570046249122,0.1,-0.5,254.00000000000006,26.000000000000007
14.359999999999738,0.01,0.396156509597839,0.05167105098589868,2.4948872765030545,-0.13497369946593812,0.04449935201688254,0.0,0.9294765522512819,-2.1785872200907344,0.1,-0.5,254.00000000000006,14.000000000000004
14.369999999999738,0.01,0.2895323888760755,0.051668972315422085,2.497993914630627,-0.13525100721588318,0.04406135762068887,0.0,1.1360196605945923,-1.9718839953733664,0.1,-0.5,254.00000000000006,23.000000000000004
14.379999999999738,0.01,0.3736778783952412,0.051670273725390486,2.501349461323598,-0.13552839549083423,0.0436235934370298,0.0,1.0100378543521853,-2.0979434641046364,0.1,-0.5,254.00000000000006,25.000000000000007
14.389999999999738,0.01,0.37519841018092326,0.05167024842277012,2.5051310986017046,-0.13579850250779596,0.0431805844664781,0.0,0.9998831727860181,-2.1081034298494092,0.1,-0.5,254.00000000000006,27.000000000000007
14.399999999999737,0.01,0.3856178890141829,0.051670288439783996,2.5089093109392584,-0.13606700938065225,0.04273661470036945,0.0,0.9889300776454437,-2.11905556649829,0.1,-0.5,255.00000000000006,29.000000000000007
14.409999999999737,0.01,0.4047981564558248,0.05167053751826055,2.512869550634325,-0.1363321795806407,0.042290424861244916,0.0,0.9595601477520287,-2.1484411207987018,0.1,-0.5,254.00000000000006,31.000000000000007
14.419999999999737,0.01,0.4165860662179091,0.05167064658472831,2.5169776613068335,-0.1365939110955946,0.041841979791632664,0.0,0.9418382526289697,-2.1661699172965876,0.1,-0.5,255.00000000000006,30.000000000000007
14.429999999999737,0.01,0.4296754355228919,0.05167078380650607,2.521207780867421,-0.136852553592125,0.04139157094735123,0.0,0.9227827546466608,-2.1852334135868956,0.1,-0.5,254.00000000000006,32.00000000000001
14.439999999999737,0.01,0.4423507592649366,0.051670922839797115,2.525569191365509,-0.13710792211237738,0.040939101077172205,0.0,0.903898420602272,-2.2041262438290885,0.1,-0.5,254.00000000000006,33.00000000000001
14.449999999999736,0.01,0.4540277242793287,0.05167104597653717,2.5300514309136113,-0.1373600364371207,0.0404846218257125,0.0,0.8866220983247155,-2.221410005795824,0.1,-0.5,254.00000000000006,37.00000000000001
