time,step-size,{bodyFMU}.body.body.omega.flow,{bodyFMU}.body.body.v.flow[1],{bodyFMU}.body.robot_theta,{bodyFMU}.body.robot_x,{bodyFMU}.body.robot_y,{bodyFMU}.body.robot_z,{controllerFMU}.controller.servoLeftVal,{controllerFMU}.controller.servoRightVal,{sensor1FMU}.sensor1.lf_1_sensor_reading,{sensor2FMU}.sensor2.lf_1_sensor_reading
16.269999999999744,0.01,0.3041434501259773,0.0516693799084573,3.3265044728314583,-0.12085044911652981,-0.11032016679132298,0.0,0.1,-0.5,254.00000000000006,225.00000000000006
16.279999999999745,0.01,0.3220953096068659,0.0516695482254211,3.3296362610478862,-0.12071665104742957,-0.1108207454986055,0.0,0.1,-0.5,254.00000000000006,248.00000000000006
16.289999999999747,0.01,0.3394256595469041,0.051669716828606514,3.332944470427087,-0.12057906526669776,-0.11132047600548156,0.0,0.1,-0.5,255.00000000000006,250.00000000000006
16.29999999999975,0.01,0.3559411455667297,0.05166988181200018,3.3364220172717283,-0.12043769247984681,-0.1118193308728328,0.0,0.1,-0.5,254.00000000000006,251.00000000000006
16.30999999999975,0.01,0.37168732034887875,0.05167004246708136,3.3400607610434543,-0.12029255493004837,-0.11231728607414036,0.0,0.1,-0.5,255.00000000000006,254.00000000000006
16.31999999999975,0.01,0.3867339621825299,0.05167019904775402,3.343853459600149,-0.120143669254693,-0.11281431596689714,0.0,0.1,-0.5,255.00000000000006,255.00000000000006
16.329999999999753,0.01,0.4010927168516007,0.051670350796113686,3.347793162702648,-0.11999105088745621,-0.11331039419412732,0.0,0.1,-0.5,252.00000000000006,254.00000000000006
16.339999999999755,0.01,0.41479934755637243,0.051670497475655365,3.3518731612897197,-0.119834716562159,-0.1138054942728417,0.0,0.1,-0.5,247.00000000000006,254.00000000000006
16.349999999999756,0.01,0.4278846224969156,0.05167063888100056,3.3560870971504726,-0.11967468222364669,-0.11429958924386902,0.0,0.1,-0.5,247.00000000000006,254.00000000000006
16.359999999999758,0.01,0.44037532728961,0.05167077480006125,3.3604288893088667,-0.11951096372350561,-0.11479265187471574,0.0,0.1,-0.5,214.00000000000006,254.00000000000006
16.36999999999976,0.01,0.45229901057101335,0.05167090511606757,3.364892730755102,-0.11934357684580588,-0.11528465472224574,0.0,0.1,-0.5,183.00000000000003,254.00000000000006
16.37999999999976,0.01,0.4636813742927478,0.05167102974644809,3.3694730812971927,-0.11917253719426307,-0.11577557015765108,0.0,0.1,-0.5,151.00000000000003,255.00000000000006
16.389999999999763,0.01,0.4745469193446833,0.05167114864658541,3.374164650966948,-0.11899786027109288,-0.11626537042724627,0.0,0.1,-0.5,115.00000000000003,254.00000000000006
16.399999999999764,0.01,0.48491915844517103,0.05167126180977709,3.378962390108278,-0.11881956147714318,-0.11675402769120265,0.0,0.1,-0.5,81.00000000000001,254.00000000000006
16.409999999999766,0.01,0.4948204765884437,0.051671369258022626,3.383861478490417,-0.11863765611882005,-0.11724151405904834,0.0,0.5,-0.1,44.00000000000001,254.00000000000006
16.419999999999767,0.01,-0.2540776713897468,0.05166759658908158,3.3855024969300676,-0.1184780805754645,-0.11773428465222746,0.0,0.5,-0.1,20.000000000000004,254.00000000000006
16.42999999999977,0.01,-0.26851739822927534,0.05166948637368347,3.3821398052347584,-0.11839292243586996,-0.11824548181331296,0.0,0.5,-0.1,17.000000000000004,254.00000000000006
16.43999999999977,0.01,-0.16768773969218542,0.051668329269035855,3.3802803594768025,-0.11829565776426337,-0.11875360857186687,0.0,0.5,-0.1,30.000000000000007,255.00000000000006
16.449999999999772,0.01,-0.25736562014210884,0.05166922258915645,3.3781153789866245,-0.11819828900652635,-0.11926165624676666,0.0,0.5,-0.1,35.00000000000001,255.00000000000006
16.459999999999773,0.01,-0.26416687027144,0.05166927533519986,3.3754702523990527,-0.11810973403111491,-0.11977176529424602,0.0,0.5,-0.1,44.00000000000001,254.00000000000006
16.469999999999775,0.01,-0.2796273884188892,0.05166936446719083,3.3727769517608963,-0.1180230799930792,-0.12028223709443289,0.0,0.5,-0.1,54.000000000000014,254.00000000000006
16.479999999999777,0.01,-0.3036198714519924,0.05166960554359246,3.369852366298115,-0.11794041468217609,-0.12079355093564415,0.0,0.5,-0.1,68.00000000000001,254.00000000000006
16.489999999999778,0.01,-0.32000147130995393,0.05166974653472021,3.3667328889892474,-0.11786184191881816,-0.1213057033336297,0.0,0.5,-0.1,82.00000000000001,254.00000000000006
16.49999999999978,0.01,-0.33747598051573563,0.051669909749236076,3.3634465168743275,-0.11778692270849461,-0.12181856510264105,0.0,0.5,-0.1,102.00000000000003,254.00000000000006
16.50999999999978,0.01,-0.3543373504692268,0.05167007555488247,3.3599860057214714,-0.11771586225080255,-0.12233215605472889,0.0,0.5,-0.1,122.00000000000003,254.00000000000006
16.519999999999783,0.01,-0.37001030382394406,0.051670229448936664,3.3563637628420184,-0.11764861945585187,-0.1228464382424475,0.0,0.5,-0.1,146.00000000000003,254.00000000000006
16.529999999999784,0.01,-0.3851652145813268,0.05167038256281254,3.3525873664486663,-0.11758517078632741,-0.12336137746064223,0.0,0.5,-0.1,171.00000000000003,254.00000000000006
16.539999999999786,0.01,-0.3996040308390111,0.051670530726736094,3.348662889242318,-0.11752552793886306,-0.12387694678067947,0.0,0.5,-0.1,199.00000000000006,254.00000000000006
16.549999999999788,0.01,-0.4133678209755924,0.05167067347616996,3.344597506665171,-0.11746968131175628,-0.12439311419770531,0.0,0.5,-0.1,228.00000000000006,254.00000000000006
16.55999999999979,0.01,-0.4265220825022454,0.051670811374638546,3.340397539580828,-0.1174176269577561,-0.12490984862475607,0.0,0.5,-0.1,245.00000000000006,254.00000000000006
16.56999999999979,0.01,-0.4390743748352378,0.051670943812974164,3.3360690587779502,-0.11736936219257554,-0.12542711897024128,0.0,0.5,-0.1,252.00000000000006,255.00000000000006
16.579999999999792,0.01,-0.451056560319839,0.05167107073404367,3.3316179337960508,-0.11732488307015515,-0.12594489368097983,0.0,0.5,-0.1,255.00000000000006,254.00000000000006
16.589999999999794,0.01,-0.462495683406476,0.051671192085729116,3.327049721440366,-0.11728418645190086,-0.12646314121746627,0.0,0.5,-0.1,254.00000000000006,253.00000000000006
16.599999999999795,0.01,-0.47341497503213986,0.05167130778463434,3.3223697376667576,-0.11724726929569351,-0.1269818299519269,0.0,0.5,-0.1,254.00000000000006,251.00000000000006
16.609999999999797,0.01,-0.4838385905416363,0.05167141782986628,3.3175830591983417,-0.11721412861569092,-0.12750092820099873,0.0,0.5,-0.1,255.00000000000006,243.00000000000006
