time,step-size,{bodyFMU}.body.body.omega.flow,{bodyFMU}.body.body.v.flow[1],{bodyFMU}.body.encoder_left_output,{bodyFMU}.body.encoder_right_output,{bodyFMU}.body.robot_theta,{bodyFMU}.body.robot_x,{bodyFMU}.body.robot_y,{bodyFMU}.body.robot_z,{controllerFMU}.controller.servoLeftVal,{controllerFMU}.controller.servoRightVal,{sensor1FMU}.sensor1.lf_1_sensor_reading,{sensor2FMU}.sensor2.lf_1_sensor_reading
1.8200000000000014,0.01,0.0,0.06209890852468226,9.0,-9.0,0.0,0.138,-0.03499104587345982,0.0,0.4,-0.4,254.00000000000006,255.00000000000006
1.8300000000000014,0.01,0.0,0.06224657042054204,10.0,-10.0,0.0,0.138,-0.034369463574470835,0.0,0.4,-0.4,254.00000000000006,254.00000000000006
1.8400000000000014,0.01,0.0,0.062391023524354196,10.0,-10.0,0.0,0.138,-0.03374641754745581,0.0,0.4,-0.4,254.00000000000006,254.00000000000006
1.8500000000000014,0.01,0.0,0.06253233756532235,10.0,-10.0,0.0,0.138,-0.03312193960020659,0.0,0.4,-0.4,255.00000000000006,255.00000000000006
1.8600000000000014,0.01,0.0,0.06267058075738778,10.0,-10.0,0.0,0.138,-0.03249606084931038,0.0,0.4,-0.4,254.00000000000006,254.00000000000006
1.8700000000000014,0.01,0.0,0.06280581983215701,10.0,-10.0,0.0,0.138,-0.03186881173517009,0.0,0.4,-0.4,254.00000000000006,254.00000000000006
1.8800000000000014,0.01,0.0,0.06293812007111407,10.0,-10.0,0.0,0.138,-0.031240222036698254,0.0,0.4,-0.4,254.00000000000006,255.00000000000006
1.8900000000000015,0.01,0.0,0.06306754533713248,10.0,-10.0,0.0,0.138,-0.030610320885691628,0.0,0.4,-0.4,255.00000000000006,254.00000000000006
1.9000000000000015,0.01,0.0,0.06319415810530273,11.0,-11.0,0.0,0.138,-0.029979136780893513,0.0,0.4,-0.4,255.00000000000006,255.00000000000006
1.9100000000000015,0.01,0.0,0.06331801949308966,11.0,-11.0,0.0,0.138,-0.029346697601750404,0.0,0.4,-0.4,254.00000000000006,254.00000000000006
1.9200000000000015,0.01,0.0,0.06343918928983461,11.0,-11.0,0.0,0.138,-0.028713030621869723,0.0,0.4,-0.4,254.00000000000006,254.00000000000006
1.9300000000000015,0.01,0.0,0.06355772598561639,11.0,-11.0,0.0,0.138,-0.028078162522185077,0.0,0.4,-0.4,255.00000000000006,254.00000000000006
1.9400000000000015,0.01,0.0,0.06367368679948525,11.0,-11.0,0.0,0.138,-0.027442119403835508,0.0,0.4,-0.4,254.00000000000006,255.00000000000006
1.9500000000000015,0.01,0.0,0.063787127707083,11.0,-11.0,0.0,0.138,-0.026804926800764815,0.0,0.4,-0.4,255.00000000000006,254.00000000000006
1.9600000000000015,0.01,0.0,0.06389810346766328,11.0,-11.0,0.0,0.138,-0.02616660969204703,0.0,0.4,-0.4,254.00000000000006,254.00000000000006
1.9700000000000015,0.01,0.0,0.06400666765052435,11.0,-11.0,0.0,0.138,-0.02552719251394421,0.0,0.4,-0.4,255.00000000000006,254.00000000000006
1.9800000000000015,0.01,0.0,0.06411287266086772,12.0,-12.0,0.0,0.138,-0.024886699171701977,0.0,0.4,-0.4,254.00000000000006,254.00000000000006
1.9900000000000015,0.01,0.0,0.06421676976509476,12.0,-12.0,0.0,0.138,-0.024245153051088993,0.0,0.4,-0.4,255.00000000000006,254.00000000000006
2.0000000000000013,0.01,0.0,0.06431840911555346,12.0,-12.0,0.0,0.138,-0.02360257702968544,0.0,0.4,-0.4,255.00000000000006,254.00000000000006
2.010000000000001,0.01,0.0,0.06441783977474771,12.0,-12.0,0.0,0.138,-0.02295899348792633,0.0,0.4,-0.4,254.00000000000006,255.00000000000006
2.020000000000001,0.01,0.0,0.06451510973902026,12.0,-12.0,0.0,0.138,-0.022314424319904845,0.0,0.4,-0.4,254.00000000000006,254.00000000000006
2.0300000000000007,0.01,0.0,0.06461026596172116,12.0,-12.0,0.0,0.138,-0.021668890943940818,0.0,0.4,-0.4,254.00000000000006,254.00000000000006
2.0400000000000005,0.01,0.0,0.0647033543758726,12.0,-12.0,0.0,0.138,-0.02102241431291963,0.0,0.4,-0.4,254.00000000000006,254.00000000000006
2.0500000000000003,0.01,0.0,0.06479441991634145,13.0,-13.0,0.0,0.138,-0.02037501492440639,0.0,0.4,-0.4,254.00000000000006,254.00000000000006
2.06,0.01,0.0,0.06488350654152977,13.0,-13.0,0.0,0.138,-0.019726712830540373,0.0,0.4,-0.4,254.00000000000006,254.00000000000006
2.07,0.01,0.0,0.06497065725459404,13.0,-13.0,0.0,0.138,-0.01907752764771444,0.0,0.4,-0.4,254.00000000000006,254.00000000000006
2.0799999999999996,0.01,0.0,0.06505591412420333,13.0,-13.0,0.0,0.138,-0.018427478566044056,0.0,0.4,-0.4,254.00000000000006,254.00000000000006
2.0899999999999994,0.01,0.0,0.06513931830484627,13.0,-13.0,0.0,0.138,-0.01777658435863061,0.0,0.4,-0.4,255.00000000000006,254.00000000000006
2.099999999999999,0.01,0.0,0.06522091005669688,13.0,-13.0,0.0,0.138,-0.0171248633906234,0.0,0.4,-0.4,255.00000000000006,254.00000000000006
2.109999999999999,0.01,0.0,0.0653007287650486,13.0,-13.0,0.0,0.138,-0.016472333628084715,0.0,0.4,-0.4,254.00000000000006,255.00000000000006
2.1199999999999988,0.01,0.0,0.06537881295932602,14.0,-14.0,0.0,0.138,-0.015819012646662245,0.0,0.4,-0.4,254.00000000000006,254.00000000000006
2.1299999999999986,0.01,0.0,0.06545520033168338,14.0,-14.0,0.0,0.138,-0.015164917640073078,0.0,0.4,-0.4,255.00000000000006,254.00000000000006
2.1399999999999983,0.01,0.0,0.06552992775519932,14.0,-14.0,0.0,0.138,-0.014510065428403315,0.0,0.4,-0.4,255.00000000000006,255.00000000000006
2.149999999999998,0.01,0.0,0.06560303130167561,14.0,-14.0,0.0,0.138,-0.0138544724662273,0.0,0.4,-0.4,254.00000000000006,254.00000000000006
2.159999999999998,0.01,0.0,0.06567454625904962,14.0,-14.0,0.0,0.138,-0.013198154850550384,0.0,0.4,-0.4,254.00000000000006,254.00000000000006
2.1699999999999977,0.01,0.0,0.06574450714842814,14.0,-14.0,0.0,0.138,-0.01254112832857926,0.0,0.4,-0.4,254.00000000000006,254.00000000000006
2.1799999999999975,0.01,0.0,0.06581294774075118,14.0,-14.0,0.0,0.138,-0.011883408305323237,0.0,0.4,-0.4,254.00000000000006,255.00000000000006
2.1899999999999973,0.01,0.0,0.06587990107309354,14.0,-14.0,0.0,0.138,-0.011225009851030407,0.0,0.4,-0.4,254.00000000000006,254.00000000000006
2.199999999999997,0.01,0.0,0.06594539946461227,15.0,-15.0,0.0,0.138,-0.010565947708462295,0.0,0.4,-0.4,254.00000000000006,254.00000000000006
2.209999999999997,0.01,0.0,0.06600947453214741,15.0,-15.0,0.0,0.138,-0.009906236300010335,0.0,0.4,-0.4,254.00000000000006,254.00000000000006
